"emp_no","birth_date","first_name","last_name","gender","hire_date","emp_no","salary","from_date","to_date"
11325,"1952-02-06",Samphel,Rossi,F,"1999-01-10",11325,69456,"2002-01-09","9999-01-01"
11697,"1957-12-20",JoAnne,Merey,F,"1999-11-06",11697,44268,"1999-12-10","2000-12-09"
11697,"1957-12-20",JoAnne,Merey,F,"1999-11-06",11697,45783,"2000-12-09","2001-12-09"
11697,"1957-12-20",JoAnne,Merey,F,"1999-11-06",11697,45619,"2001-12-09","9999-01-01"
11754,"1958-05-18",Malu,Magliocco,F,"1999-08-23",11754,43638,"1999-11-06","2000-11-05"
11754,"1958-05-18",Malu,Magliocco,F,"1999-08-23",11754,46000,"2000-11-05","2001-11-05"
11754,"1958-05-18",Malu,Magliocco,F,"1999-08-23",11754,47936,"2001-11-05","9999-01-01"
11829,"1952-08-01",Chaosheng,Pettis,F,"1999-02-17",11829,40000,"1999-10-11","2000-10-10"
11829,"1952-08-01",Chaosheng,Pettis,F,"1999-02-17",11829,44216,"2000-10-10","2001-10-10"
11829,"1952-08-01",Chaosheng,Pettis,F,"1999-02-17",11829,48098,"2001-10-10","9999-01-01"
12015,"1954-08-26",Kensei,Guenter,M,"1999-01-04",12015,42853,"1999-11-16","2000-11-15"
12015,"1954-08-26",Kensei,Guenter,M,"1999-01-04",12015,43178,"2000-11-15","2001-11-15"
12015,"1954-08-26",Kensei,Guenter,M,"1999-01-04",12015,44595,"2001-11-15","9999-01-01"
12117,"1956-07-22",Zvonko,Rosaz,F,"1999-02-01",12117,40000,"1999-02-01","2000-02-01"
12117,"1956-07-22",Zvonko,Rosaz,F,"1999-02-01",12117,40436,"2000-02-01","2001-01-31"
12117,"1956-07-22",Zvonko,Rosaz,F,"1999-02-01",12117,41160,"2001-01-31","2002-01-31"
12117,"1956-07-22",Zvonko,Rosaz,F,"1999-02-01",12117,44738,"2002-01-31","2002-06-23"
12299,"1962-04-25",Billie,Kushner,M,"1999-01-24",12299,40000,"1999-01-24","2000-01-23"
12299,"1962-04-25",Billie,Kushner,M,"1999-01-24",12299,40254,"2000-01-23","2001-01-22"
12299,"1962-04-25",Billie,Kushner,M,"1999-01-24",12299,41258,"2001-01-22","2002-01-22"
12299,"1962-04-25",Billie,Kushner,M,"1999-01-24",12299,41891,"2002-01-22","9999-01-01"
12389,"1963-10-16",Percy,Casperson,M,"1999-10-08",12389,40000,"1999-11-02","2000-11-01"
12389,"1963-10-16",Percy,Casperson,M,"1999-10-08",12389,43789,"2000-11-01","2001-11-01"
12389,"1963-10-16",Percy,Casperson,M,"1999-10-08",12389,47326,"2001-11-01","9999-01-01"
12495,"1962-12-28",Mooi,Erni,M,"1999-10-01",12495,60091,"1999-12-13","2000-12-12"
12495,"1962-12-28",Mooi,Erni,M,"1999-10-01",12495,62842,"2000-12-12","2001-12-12"
12495,"1962-12-28",Mooi,Erni,M,"1999-10-01",12495,62703,"2001-12-12","9999-01-01"
12550,"1957-09-16",Shawna,Marzano,M,"1999-01-04",12550,44293,"1999-05-14","2000-05-13"
12550,"1957-09-16",Shawna,Marzano,M,"1999-01-04",12550,46772,"2000-05-13","2001-05-13"
12550,"1957-09-16",Shawna,Marzano,M,"1999-01-04",12550,47599,"2001-05-13","2002-05-13"
12550,"1957-09-16",Shawna,Marzano,M,"1999-01-04",12550,48792,"2002-05-13","9999-01-01"
12889,"1952-05-02",Mayumi,Mukaidono,F,"1999-01-22",12889,58901,"1999-04-28","2000-04-27"
12889,"1952-05-02",Mayumi,Mukaidono,F,"1999-01-22",12889,58806,"2000-04-27","2001-04-27"
12889,"1952-05-02",Mayumi,Mukaidono,F,"1999-01-22",12889,61485,"2001-04-27","2002-04-27"
12889,"1952-05-02",Mayumi,Mukaidono,F,"1999-01-22",12889,62341,"2002-04-27","9999-01-01"
13159,"1954-09-22",Jingling,Ranst,F,"1999-06-19",13159,54536,"1999-08-12","2000-08-11"
13159,"1954-09-22",Jingling,Ranst,F,"1999-06-19",13159,58733,"2000-08-11","2001-08-11"
13159,"1954-09-22",Jingling,Ranst,F,"1999-06-19",13159,60572,"2001-08-11","9999-01-01"
13189,"1955-11-29",Yuuichi,Bazzichi,F,"1999-07-01",13189,40000,"1999-10-16","2000-10-15"
13189,"1955-11-29",Yuuichi,Bazzichi,F,"1999-07-01",13189,43628,"2000-10-15","2001-10-15"
13189,"1955-11-29",Yuuichi,Bazzichi,F,"1999-07-01",13189,47330,"2001-10-15","9999-01-01"
13206,"1954-04-07",Tetsurou,Rullman,M,"1999-03-06",13206,44383,"1999-09-06","2000-09-05"
13206,"1954-04-07",Tetsurou,Rullman,M,"1999-03-06",13206,44506,"2000-09-05","2001-09-05"
13206,"1954-04-07",Tetsurou,Rullman,M,"1999-03-06",13206,46250,"2001-09-05","9999-01-01"
13218,"1963-12-20",Junichi,Attimonelli,F,"1999-01-30",13218,40000,"1999-01-30","2000-01-30"
13218,"1963-12-20",Junichi,Attimonelli,F,"1999-01-30",13218,43796,"2000-01-30","2001-01-29"
13218,"1963-12-20",Junichi,Attimonelli,F,"1999-01-30",13218,46957,"2001-01-29","2002-01-29"
13218,"1963-12-20",Junichi,Attimonelli,F,"1999-01-30",13218,49205,"2002-01-29","9999-01-01"
13246,"1952-06-09",Adil,Siepmann,F,"1999-12-31",13246,83156,"1999-12-31","2000-12-30"
13246,"1952-06-09",Adil,Siepmann,F,"1999-12-31",13246,86204,"2000-12-30","2001-12-30"
13246,"1952-06-09",Adil,Siepmann,F,"1999-12-31",13246,86760,"2001-12-30","9999-01-01"
13357,"1953-08-19",Mabry,Llado,F,"1999-01-24",13357,40000,"1999-01-24","2000-01-24"
13357,"1953-08-19",Mabry,Llado,F,"1999-01-24",13357,42381,"2000-01-24","2001-01-23"
13357,"1953-08-19",Mabry,Llado,F,"1999-01-24",13357,42577,"2001-01-23","2002-01-23"
13357,"1953-08-19",Mabry,Llado,F,"1999-01-24",13357,44039,"2002-01-23","9999-01-01"
13359,"1954-11-16",Pragnesh,Kragelund,F,"1999-05-29",13359,62189,"1999-05-29","2000-05-28"
13359,"1954-11-16",Pragnesh,Kragelund,F,"1999-05-29",13359,64188,"2000-05-28","2001-01-01"
13469,"1962-03-25",Yonghoan,Undy,F,"1999-09-29",13469,56090,"1999-09-29","2000-09-28"
13469,"1962-03-25",Yonghoan,Undy,F,"1999-09-29",13469,56934,"2000-09-28","2001-09-28"
13469,"1962-03-25",Yonghoan,Undy,F,"1999-09-29",13469,61051,"2001-09-28","9999-01-01"
13591,"1953-01-23",Jinxi,Poulakidas,F,"1999-06-24",13591,40000,"1999-06-24","2000-06-23"
13591,"1953-01-23",Jinxi,Poulakidas,F,"1999-06-24",13591,41504,"2000-06-23","2001-06-23"
13591,"1953-01-23",Jinxi,Poulakidas,F,"1999-06-24",13591,41723,"2001-06-23","2002-06-23"
13591,"1953-01-23",Jinxi,Poulakidas,F,"1999-06-24",13591,44010,"2002-06-23","9999-01-01"
13805,"1958-06-02",Barry,Veldwijk,M,"1999-04-13",13805,88152,"1999-09-09","2000-09-08"
13805,"1958-06-02",Barry,Veldwijk,M,"1999-04-13",13805,90045,"2000-09-08","2001-09-08"
13805,"1958-06-02",Barry,Veldwijk,M,"1999-04-13",13805,93597,"2001-09-08","9999-01-01"
13819,"1959-10-15",Honglan,Percebois,M,"1999-03-03",13819,40000,"1999-05-19","2000-05-18"
13819,"1959-10-15",Honglan,Percebois,M,"1999-03-03",13819,44296,"2000-05-18","2001-05-18"
13819,"1959-10-15",Honglan,Percebois,M,"1999-03-03",13819,46233,"2001-05-18","2002-05-18"
13819,"1959-10-15",Honglan,Percebois,M,"1999-03-03",13819,49723,"2002-05-18","9999-01-01"
13919,"1952-04-22",Brewster,Sinicrope,M,"1999-12-04",13919,51486,"1999-12-04","2000-12-03"
13919,"1952-04-22",Brewster,Sinicrope,M,"1999-12-04",13919,54846,"2000-12-03","2001-12-03"
13919,"1952-04-22",Brewster,Sinicrope,M,"1999-12-04",13919,57611,"2001-12-03","9999-01-01"
13940,"1961-10-22",Leon,Servieres,F,"1999-01-08",13940,40000,"1999-03-30","1999-04-30"
14109,"1954-08-28",Vesna,Haldar,M,"1999-01-08",14109,61804,"1999-12-12","2000-01-01"
14420,"1959-12-31",Aiman,Panangaden,F,"1999-07-12",14420,40000,"1999-07-12","2000-07-11"
14420,"1959-12-31",Aiman,Panangaden,F,"1999-07-12",14420,43166,"2000-07-11","2001-07-11"
14420,"1959-12-31",Aiman,Panangaden,F,"1999-07-12",14420,46595,"2001-07-11","2002-07-11"
14420,"1959-12-31",Aiman,Panangaden,F,"1999-07-12",14420,46682,"2002-07-11","9999-01-01"
14901,"1959-02-20",Paloma,Basawa,M,"1999-02-05",14901,46606,"1999-02-05","2000-02-05"
14901,"1959-02-20",Paloma,Basawa,M,"1999-02-05",14901,50059,"2000-02-05","2000-11-25"
14916,"1957-05-25",Fumino,Narlikar,M,"1999-04-01",14916,45078,"1999-04-01","2000-03-31"
14916,"1957-05-25",Fumino,Narlikar,M,"1999-04-01",14916,48322,"2000-03-31","2001-03-31"
14916,"1957-05-25",Fumino,Narlikar,M,"1999-04-01",14916,52457,"2001-03-31","2002-03-31"
14916,"1957-05-25",Fumino,Narlikar,M,"1999-04-01",14916,54724,"2002-03-31","9999-01-01"
15124,"1955-05-06",Adhemar,Percebois,M,"1999-02-20",15124,40000,"1999-09-26","2000-09-25"
15124,"1955-05-06",Adhemar,Percebois,M,"1999-02-20",15124,41346,"2000-09-25","2001-09-25"
15124,"1955-05-06",Adhemar,Percebois,M,"1999-02-20",15124,42108,"2001-09-25","9999-01-01"
15169,"1955-10-31",Sanjoy,Matteis,M,"1999-05-25",15169,64912,"1999-09-10","2000-09-09"
15169,"1955-10-31",Sanjoy,Matteis,M,"1999-05-25",15169,64770,"2000-09-09","2001-09-09"
15169,"1955-10-31",Sanjoy,Matteis,M,"1999-05-25",15169,66206,"2001-09-09","9999-01-01"
15368,"1963-07-18",Seongbin,Lortz,F,"1999-04-01",15368,44844,"1999-05-18","2000-05-17"
15368,"1963-07-18",Seongbin,Lortz,F,"1999-04-01",15368,48056,"2000-05-17","2001-05-17"
15368,"1963-07-18",Seongbin,Lortz,F,"1999-04-01",15368,51828,"2001-05-17","2002-05-17"
15368,"1963-07-18",Seongbin,Lortz,F,"1999-04-01",15368,52530,"2002-05-17","9999-01-01"
15426,"1960-07-24",Juichirou,Biran,M,"1999-09-30",15426,51994,"1999-09-30","2000-09-29"
15426,"1960-07-24",Juichirou,Biran,M,"1999-09-30",15426,55947,"2000-09-29","2001-09-29"
15426,"1960-07-24",Juichirou,Biran,M,"1999-09-30",15426,56307,"2001-09-29","9999-01-01"
15450,"1958-08-27",Ugo,Salverda,M,"1999-06-14",15450,40000,"1999-06-14","2000-04-17"
15596,"1961-11-22",Bedir,Baba,M,"1999-01-09",15596,76730,"1999-11-15","2000-11-14"
15596,"1961-11-22",Bedir,Baba,M,"1999-01-09",15596,76546,"2000-11-14","2000-12-07"
15929,"1958-04-29",Mingdong,Baak,M,"1999-01-30",15929,51243,"1999-09-03","2000-09-02"
15929,"1958-04-29",Mingdong,Baak,M,"1999-01-30",15929,53160,"2000-09-02","2001-01-31"
15972,"1958-02-18",Tadanori,Staudhammer,M,"1999-04-10",15972,40000,"1999-04-10","2000-04-09"
15972,"1958-02-18",Tadanori,Staudhammer,M,"1999-04-10",15972,40689,"2000-04-09","2001-04-09"
15972,"1958-02-18",Tadanori,Staudhammer,M,"1999-04-10",15972,42752,"2001-04-09","2002-04-09"
15972,"1958-02-18",Tadanori,Staudhammer,M,"1999-04-10",15972,44843,"2002-04-09","9999-01-01"
16166,"1955-09-19",Eberhardt,Chandrasekhar,M,"1999-03-04",16166,40000,"1999-10-21","2000-10-20"
16166,"1955-09-19",Eberhardt,Chandrasekhar,M,"1999-03-04",16166,43790,"2000-10-20","2001-10-20"
16166,"1955-09-19",Eberhardt,Chandrasekhar,M,"1999-03-04",16166,45967,"2001-10-20","9999-01-01"
16244,"1961-09-16",Parviz,Strandh,F,"1999-02-22",16244,40000,"2000-01-04","2001-01-03"
16244,"1961-09-16",Parviz,Strandh,F,"1999-02-22",16244,39729,"2001-01-03","2002-01-03"
16244,"1961-09-16",Parviz,Strandh,F,"1999-02-22",16244,42584,"2002-01-03","9999-01-01"
16308,"1957-02-12",Yannis,Waterhouse,F,"1999-05-08",16308,62008,"1999-10-16","2000-10-15"
16308,"1957-02-12",Yannis,Waterhouse,F,"1999-05-08",16308,65321,"2000-10-15","2001-10-15"
16308,"1957-02-12",Yannis,Waterhouse,F,"1999-05-08",16308,68525,"2001-10-15","9999-01-01"
16665,"1959-01-04",Zhilian,Zumaque,M,"1999-03-04",16665,45127,"1999-03-04","2000-03-03"
16665,"1959-01-04",Zhilian,Zumaque,M,"1999-03-04",16665,44696,"2000-03-03","2001-03-03"
16665,"1959-01-04",Zhilian,Zumaque,M,"1999-03-04",16665,47296,"2001-03-03","2002-03-03"
16665,"1959-01-04",Zhilian,Zumaque,M,"1999-03-04",16665,50678,"2002-03-03","9999-01-01"
16772,"1952-09-08",Baruch,Giveon,F,"1999-10-27",16772,73187,"1999-10-27","2000-10-26"
16772,"1952-09-08",Baruch,Giveon,F,"1999-10-27",16772,74447,"2000-10-26","2001-10-26"
16772,"1952-09-08",Baruch,Giveon,F,"1999-10-27",16772,75794,"2001-10-26","9999-01-01"
17706,"1961-04-11",Candido,Pauthner,F,"1999-04-01",17706,62068,"1999-04-01","2000-03-31"
17706,"1961-04-11",Candido,Pauthner,F,"1999-04-01",17706,64693,"2000-03-31","2001-03-31"
17706,"1961-04-11",Candido,Pauthner,F,"1999-04-01",17706,68538,"2001-03-31","2001-07-03"
17789,"1956-03-16",Snehasis,Gilg,F,"1999-11-14",17789,53047,"1999-12-31","2000-12-30"
17789,"1956-03-16",Snehasis,Gilg,F,"1999-11-14",17789,53599,"2000-12-30","2001-12-30"
17789,"1956-03-16",Snehasis,Gilg,F,"1999-11-14",17789,57133,"2001-12-30","9999-01-01"
17839,"1963-01-21",Chuanyi,Yoshimura,M,"1999-03-11",17839,40347,"1999-07-23","2000-07-22"
17839,"1963-01-21",Chuanyi,Yoshimura,M,"1999-03-11",17839,43462,"2000-07-22","2001-07-22"
17839,"1963-01-21",Chuanyi,Yoshimura,M,"1999-03-11",17839,45723,"2001-07-22","2002-07-22"
17839,"1963-01-21",Chuanyi,Yoshimura,M,"1999-03-11",17839,48981,"2002-07-22","9999-01-01"
18000,"1955-04-19",Tzvetan,Rajcani,M,"1999-05-03",18000,51167,"1999-12-10","2000-12-09"
18000,"1955-04-19",Tzvetan,Rajcani,M,"1999-05-03",18000,53097,"2000-12-09","2001-12-09"
18000,"1955-04-19",Tzvetan,Rajcani,M,"1999-05-03",18000,57289,"2001-12-09","9999-01-01"
18235,"1962-12-30",Elvia,Melter,M,"1999-06-16",18235,73567,"1999-06-16","2000-06-15"
18235,"1962-12-30",Elvia,Melter,M,"1999-06-16",18235,77714,"2000-06-15","2001-05-21"
18279,"1960-08-30",Tianruo,Pena,F,"1999-01-26",18279,48380,"1999-01-26","2000-01-26"
18279,"1960-08-30",Tianruo,Pena,F,"1999-01-26",18279,49619,"2000-01-26","2001-01-25"
18279,"1960-08-30",Tianruo,Pena,F,"1999-01-26",18279,49289,"2001-01-25","2002-01-25"
18279,"1960-08-30",Tianruo,Pena,F,"1999-01-26",18279,49254,"2002-01-25","9999-01-01"
18586,"1954-10-16",Herbert,Perly,F,"1999-02-08",18586,84193,"1999-02-08","2000-02-08"
18586,"1954-10-16",Herbert,Perly,F,"1999-02-08",18586,86085,"2000-02-08","2001-02-07"
18586,"1954-10-16",Herbert,Perly,F,"1999-02-08",18586,89694,"2001-02-07","2002-02-07"
18586,"1954-10-16",Herbert,Perly,F,"1999-02-08",18586,89405,"2002-02-07","9999-01-01"
18707,"1959-04-14",Uta,Luca,M,"1999-06-05",18707,62761,"1999-06-05","2000-06-04"
18707,"1959-04-14",Uta,Luca,M,"1999-06-05",18707,65682,"2000-06-04","2001-06-04"
18707,"1959-04-14",Uta,Luca,M,"1999-06-05",18707,68075,"2001-06-04","2002-06-04"
18707,"1959-04-14",Uta,Luca,M,"1999-06-05",18707,69819,"2002-06-04","9999-01-01"
18781,"1956-02-13",Kenton,Lorys,M,"1999-03-07",18781,40000,"1999-03-07","2000-03-06"
18781,"1956-02-13",Kenton,Lorys,M,"1999-03-07",18781,42882,"2000-03-06","2001-03-06"
18781,"1956-02-13",Kenton,Lorys,M,"1999-03-07",18781,44335,"2001-03-06","2002-03-06"
18781,"1956-02-13",Kenton,Lorys,M,"1999-03-07",18781,46993,"2002-03-06","2002-06-28"
18844,"1957-05-23",Anneli,Seuren,M,"1999-01-26",18844,40000,"1999-01-26","2000-01-26"
18844,"1957-05-23",Anneli,Seuren,M,"1999-01-26",18844,42672,"2000-01-26","2001-01-25"
18844,"1957-05-23",Anneli,Seuren,M,"1999-01-26",18844,42483,"2001-01-25","2002-01-25"
18844,"1957-05-23",Anneli,Seuren,M,"1999-01-26",18844,43468,"2002-01-25","9999-01-01"
19056,"1955-09-27",Leaf,Nishimukai,M,"1999-07-29",19056,40000,"1999-12-12","2000-12-11"
19056,"1955-09-27",Leaf,Nishimukai,M,"1999-07-29",19056,42569,"2000-12-11","2001-12-11"
19056,"1955-09-27",Leaf,Nishimukai,M,"1999-07-29",19056,43592,"2001-12-11","9999-01-01"
19063,"1958-11-03",Shaz,Suermann,F,"1999-08-16",19063,69440,"1999-08-18","2000-08-17"
19063,"1958-11-03",Shaz,Suermann,F,"1999-08-16",19063,68971,"2000-08-17","2001-08-17"
19063,"1958-11-03",Shaz,Suermann,F,"1999-08-16",19063,73203,"2001-08-17","9999-01-01"
19283,"1961-05-01",Breannda,Erol,F,"1999-02-24",19283,40000,"1999-07-05","2000-07-04"
19283,"1961-05-01",Breannda,Erol,F,"1999-02-24",19283,40535,"2000-07-04","2001-07-04"
19283,"1961-05-01",Breannda,Erol,F,"1999-02-24",19283,42394,"2001-07-04","2002-07-04"
19283,"1961-05-01",Breannda,Erol,F,"1999-02-24",19283,43361,"2002-07-04","9999-01-01"
19459,"1955-01-19",Sadun,Kawashimo,M,"1999-08-18",19459,54603,"1999-08-18","2000-08-17"
19459,"1955-01-19",Sadun,Kawashimo,M,"1999-08-18",19459,57136,"2000-08-17","2001-08-17"
19459,"1955-01-19",Sadun,Kawashimo,M,"1999-08-18",19459,58840,"2001-08-17","9999-01-01"
19854,"1955-06-07",Youssef,Orsini,F,"1999-08-28",19854,65209,"1999-08-28","2000-08-27"
19854,"1955-06-07",Youssef,Orsini,F,"1999-08-28",19854,65219,"2000-08-27","2001-08-27"
19854,"1955-06-07",Youssef,Orsini,F,"1999-08-28",19854,68037,"2001-08-27","9999-01-01"
20322,"1952-05-21",Shmuel,Porotnikoff,F,"1999-09-05",20322,40000,"1999-09-05","2000-09-04"
20322,"1952-05-21",Shmuel,Porotnikoff,F,"1999-09-05",20322,39596,"2000-09-04","2001-09-04"
20322,"1952-05-21",Shmuel,Porotnikoff,F,"1999-09-05",20322,42684,"2001-09-04","9999-01-01"
20719,"1962-05-18",Thanasis,Monarch,F,"1999-10-21",20719,55617,"1999-10-21","2000-10-20"
20719,"1962-05-18",Thanasis,Monarch,F,"1999-10-21",20719,59807,"2000-10-20","2001-10-20"
20719,"1962-05-18",Thanasis,Monarch,F,"1999-10-21",20719,60745,"2001-10-20","9999-01-01"
20725,"1952-07-17",Yuichiro,Taubman,M,"1999-06-04",20725,67824,"1999-06-04","2000-06-03"
20725,"1952-07-17",Yuichiro,Taubman,M,"1999-06-04",20725,67878,"2000-06-03","2001-06-03"
20725,"1952-07-17",Yuichiro,Taubman,M,"1999-06-04",20725,70502,"2001-06-03","2002-06-03"
20725,"1952-07-17",Yuichiro,Taubman,M,"1999-06-04",20725,74473,"2002-06-03","9999-01-01"
21269,"1956-05-31",Sanjay,Olivero,M,"1999-06-11",21269,54814,"1999-09-20","2000-09-19"
21269,"1956-05-31",Sanjay,Olivero,M,"1999-06-11",21269,54998,"2000-09-19","2000-10-28"
21778,"1964-12-01",Arup,Melton,M,"1999-08-24",21778,40000,"1999-10-22","2000-10-21"
21778,"1964-12-01",Arup,Melton,M,"1999-08-24",21778,44150,"2000-10-21","2001-10-21"
21778,"1964-12-01",Arup,Melton,M,"1999-08-24",21778,46672,"2001-10-21","9999-01-01"
22106,"1952-09-30",Uriel,Halevi,M,"1999-01-28",22106,40000,"1999-06-23","2000-06-22"
22106,"1952-09-30",Uriel,Halevi,M,"1999-01-28",22106,43131,"2000-06-22","2001-06-22"
22106,"1952-09-30",Uriel,Halevi,M,"1999-01-28",22106,47464,"2001-06-22","2002-06-22"
22106,"1952-09-30",Uriel,Halevi,M,"1999-01-28",22106,47212,"2002-06-22","9999-01-01"
22138,"1953-11-28",Gaurav,Anandan,M,"1999-06-02",22138,40000,"1999-06-02","2000-06-01"
22138,"1953-11-28",Gaurav,Anandan,M,"1999-06-02",22138,41638,"2000-06-01","2001-06-01"
22138,"1953-11-28",Gaurav,Anandan,M,"1999-06-02",22138,41407,"2001-06-01","2002-06-01"
22138,"1953-11-28",Gaurav,Anandan,M,"1999-06-02",22138,41128,"2002-06-01","9999-01-01"
22378,"1952-04-02",Tooru,Shumilov,M,"1999-06-03",22378,63127,"1999-12-28","2000-12-27"
22378,"1952-04-02",Tooru,Shumilov,M,"1999-06-03",22378,63007,"2000-12-27","2001-12-27"
22378,"1952-04-02",Tooru,Shumilov,M,"1999-06-03",22378,66289,"2001-12-27","9999-01-01"
22679,"1955-04-17",Christophe,Ramaiah,M,"1999-01-13",22679,40000,"1999-01-13","2000-01-13"
22679,"1955-04-17",Christophe,Ramaiah,M,"1999-01-13",22679,41073,"2000-01-13","2001-01-12"
22679,"1955-04-17",Christophe,Ramaiah,M,"1999-01-13",22679,42876,"2001-01-12","2002-01-12"
22679,"1955-04-17",Christophe,Ramaiah,M,"1999-01-13",22679,43904,"2002-01-12","2002-01-26"
22826,"1961-09-09",Ferdinand,Markovitch,F,"1999-03-15",22826,40000,"1999-07-22","2000-07-21"
22826,"1961-09-09",Ferdinand,Markovitch,F,"1999-03-15",22826,40432,"2000-07-21","2001-07-21"
22826,"1961-09-09",Ferdinand,Markovitch,F,"1999-03-15",22826,42765,"2001-07-21","2001-09-12"
22979,"1964-03-24",Subbu,Krohn,F,"1999-08-08",22979,49732,"1999-10-23","2000-10-22"
22979,"1964-03-24",Subbu,Krohn,F,"1999-08-08",22979,53817,"2000-10-22","2001-10-22"
22979,"1964-03-24",Subbu,Krohn,F,"1999-08-08",22979,56585,"2001-10-22","9999-01-01"
23115,"1964-08-18",Dmitry,Tempesti,F,"1999-04-06",23115,55571,"1999-04-06","2000-04-05"
23115,"1964-08-18",Dmitry,Tempesti,F,"1999-04-06",23115,55976,"2000-04-05","2001-04-05"
23115,"1964-08-18",Dmitry,Tempesti,F,"1999-04-06",23115,57208,"2001-04-05","2002-04-04"
23115,"1964-08-18",Dmitry,Tempesti,F,"1999-04-06",23115,58745,"2002-04-04","9999-01-01"
23789,"1964-03-11",Lein,Basagni,F,"1999-02-12",23789,55867,"1999-02-12","2000-02-12"
23789,"1964-03-11",Lein,Basagni,F,"1999-02-12",23789,60205,"2000-02-12","2001-02-11"
23789,"1964-03-11",Lein,Basagni,F,"1999-02-12",23789,64543,"2001-02-11","2002-02-11"
23789,"1964-03-11",Lein,Basagni,F,"1999-02-12",23789,65421,"2002-02-11","9999-01-01"
23959,"1961-06-09",Quingbo,Baumann,F,"1999-01-20",23959,61256,"1999-01-20","2000-01-20"
23959,"1961-06-09",Quingbo,Baumann,F,"1999-01-20",23959,63077,"2000-01-20","2001-01-19"
23959,"1961-06-09",Quingbo,Baumann,F,"1999-01-20",23959,64597,"2001-01-19","2002-01-19"
23959,"1961-06-09",Quingbo,Baumann,F,"1999-01-20",23959,67855,"2002-01-19","9999-01-01"
23983,"1957-06-04",Temple,Polajnar,M,"1999-09-28",23983,64495,"1999-11-28","2000-11-27"
23983,"1957-06-04",Temple,Polajnar,M,"1999-09-28",23983,64348,"2000-11-27","2001-11-27"
23983,"1957-06-04",Temple,Polajnar,M,"1999-09-28",23983,64666,"2001-11-27","9999-01-01"
24104,"1964-11-16",Chaosheng,Sankaranarayanan,M,"1999-04-15",24104,55685,"1999-04-15","2000-04-14"
24104,"1964-11-16",Chaosheng,Sankaranarayanan,M,"1999-04-15",24104,59484,"2000-04-14","2001-04-14"
24104,"1964-11-16",Chaosheng,Sankaranarayanan,M,"1999-04-15",24104,61369,"2001-04-14","2002-04-14"
24104,"1964-11-16",Chaosheng,Sankaranarayanan,M,"1999-04-15",24104,62668,"2002-04-14","9999-01-01"
24530,"1953-05-28",Shen,Bhattacharjee,F,"1999-01-07",24530,82781,"1999-01-07","2000-01-07"
24530,"1953-05-28",Shen,Bhattacharjee,F,"1999-01-07",24530,82956,"2000-01-07","2001-01-06"
24530,"1953-05-28",Shen,Bhattacharjee,F,"1999-01-07",24530,82766,"2001-01-06","2002-01-06"
24530,"1953-05-28",Shen,Bhattacharjee,F,"1999-01-07",24530,84686,"2002-01-06","9999-01-01"
24851,"1956-07-06",Joydip,Francisci,F,"1999-06-25",24851,40185,"1999-06-25","2000-06-24"
24851,"1956-07-06",Joydip,Francisci,F,"1999-06-25",24851,43535,"2000-06-24","2001-06-24"
24851,"1956-07-06",Joydip,Francisci,F,"1999-06-25",24851,47736,"2001-06-24","2002-06-24"
